"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 01 15:25:07 CST 2020","Mon Jun 01 15:25:10 CST 2020","3290","scripts.appNoticeManageScript","test_app_notice_manage","TestDeptManage","","","test_app_notice_manage_insert",""
"passed","Mon Jun 01 15:25:10 CST 2020","Mon Jun 01 15:25:15 CST 2020","5032","scripts.appNoticeManageScript","test_app_notice_manage","TestDeptManage","","","test_app_notice_manage_reset",""
"passed","Mon Jun 01 15:25:15 CST 2020","Mon Jun 01 15:25:18 CST 2020","2788","scripts.appNoticeManageScript","test_app_notice_manage","TestDeptManage","","","test_app_notice_manage_search",""
